|   item| auctionid|number_of_bids|
|   palm|3015358053|             2|
|   palm|3022785804|             2|
|   palm|3021003299|             2|
|   palm|3019530013|             2|
|   palm|3023754303|             2|
|   palm|3020382619|             2|
|   palm|3014772364|             3|
|   palm|3024680777|             3|
|   palm|3015513138|             3|
|   palm|3020435332|             3|
|   palm|3019086590|             3|
|   palm|3025433808|             3|
|   palm|3024307294|             3|
|   palm|3015103095|             3|
|   palm|3017456210|             3|
|   palm|3022000145|             3|
|   palm|3023653116|             3|
|   palm|3015060138|             4|
|   palm|3023163333|             4|
|   palm|3014012075|             4|
|   palm|3015513105|             4|
|   palm|3015898779|             4|
|   palm|3015860830|             4|
|   palm|3025232103|             4|
|   palm|3025160117|             4|
|   palm|3023653148|             4|
|   palm|3019119068|             5|
|   palm|3025836567|             5|
|   palm|3024889230|             5|
|   palm|3014314236|             5|
|   palm|3019881842|             5|
|   palm|3024854454|             5|
|   palm|3024662462|             5|
|   palm|3017736272|             5|
|   palm|3022668008|             5|
|   palm|3024471745|             5|
|   palm|3023653216|             5|
|   palm|3025656717|             6|
|   palm|3024428241|             6|
|   palm|3015710047|             6|
|   palm|3023864656|             6|
|   palm|3023653463|             6|
|   palm|3025655397|             6|
|   palm|3025677685|             6|
|   palm|3025212496|             6|
|   palm|3024307014|             6|
|   palm|3015694920|             6|
|   palm|3015710025|             7|
|   palm|3024895548|             7|
|   palm|3015710036|             7|
|   palm|3024061761|             7|
|   palm|3014792711|             7|
|   palm|3025263643|             7|
|   palm|3026299552|             7|
|   palm|3025507248|             7|
|   palm|3025885755|             7|
|   palm|3024062340|             7|
|   palm|3023355964|             7|
|   palm|3023275213|             7|
|   palm|3025453701|             7|
|   palm|3024579522|             7|
|   palm|3021836029|             8|
|   palm|3015909534|             8|
|   palm|3016832602|             8|
|   palm|3026102735|             8|
|   palm|3025778985|             8|
|   palm|3015592850|             8|
|   palm|3017626592|             8|
|   palm|3025598612|             8|
|   palm|3015549707|             8|
|   palm|3017911925|             8|
|   palm|3021870696|             9|
|   palm|3025106904|             9|
|   palm|3015318631|             9|
|   palm|3025604983|             9|
|   palm|3014671042|             9|
|   palm|3023885393|             9|
|   palm|3017923068|             9|
|   palm|3013874420|             9|
|   palm|3022613118|             9|
|   palm|3022303986|            10|
|   palm|3015909790|            10|
|   palm|3023574629|            10|
|   palm|3016329182|            10|
|   palm|3016429446|            10|
|   palm|3020125049|            10|
|   palm|3021965054|            10|
|   palm|3020109475|            10|
|   palm|3023568805|            10|
|   palm|3015909210|            10|
|   palm|3019326300|            10|
|   palm|3020274575|            11|
|   palm|3016458866|            11|
|   palm|3023700043|            11|
|   palm|3018732453|            11|
|   palm|3024579326|            11|
|   palm|3016035790|            11|
|   palm|3023583801|            11|
|   palm|3020632534|            11|
|   palm|3024428283|            11|
|   palm|3023187210|            11|
|   palm|3018868918|            11|
|   palm|3014480955|            12|
|   palm|3015826410|            12|
|   palm|3024267974|            12|
|   palm|3020159852|            12|
|   palm|3016189459|            12|
|   palm|3014878060|            12|
|   palm|3024287595|            12|
|   palm|3019516140|            12|
|   palm|3016623337|            13|
|   palm|3016893433|            13|
|   palm|3022476363|            13|
|   palm|3023387988|            14|
|   palm|3017533541|            14|
|   palm|3014085073|            14|
|   palm|3020157897|            15|
|   palm|3017841326|            15|
|   palm|3016385067|            15|
|   palm|3016891898|            15|
|   palm|3025373736|            15|
|   palm|3015520551|            15|
|   palm|3016610859|            15|
|   palm|3020526277|            15|
|   palm|3017602583|            16|
|   palm|3020257463|            16|
|   palm|3023249693|            16|
|   palm|3023389524|            16|
|   palm|3018065500|            16|
|   palm|3016771147|            16|
|   palm|3023647851|            16|
|   palm|3014836964|            16|
|   palm|3018375809|            16|
|   palm|3020818693|            16|
|   palm|3015053536|            16|
|   palm|3023004423|            16|
|   palm|3018632224|            16|
|   palm|3016459024|            16|
|   palm|3020242442|            17|
|   palm|3015546956|            17|
|   palm|3014012365|            17|
|   palm|3025307344|            17|
|   palm|3024582522|            17|
|   palm|3024052380|            17|
|   palm|3018091954|            17|
|   palm|3024095861|            17|
|   palm|3019975492|            17|
|   palm|3017457773|            17|
|   palm|3019559023|            17|
|   palm|3024274951|            18|
|   palm|3015396986|            18|
|   palm|3015942588|            18|
|   palm|3020237085|            18|
|   palm|3020805007|            18|
|   palm|3021855303|            18|
|   palm|3013884772|            18|
|   palm|3024799631|            18|
|   palm|3013951754|            18|
|   palm|3014844871|            18|
|   palm|3019148335|            18|
|   palm|3013787547|            18|
|   palm|3017676972|            18|
|   palm|3016427640|            19|
|   palm|3016384270|            19|
|   palm|3025133084|            19|
|   palm|3024179301|            19|
|   palm|3022878518|            19|
|   palm|3016892738|            19|
|   palm|3019783040|            19|
|   palm|3018453060|            19|
|   palm|3015520083|            19|
|   palm|3020143804|            19|
|   palm|3022527291|            19|
|   palm|3024406300|            19|
|   palm|3015053617|            19|
|   palm|3014834982|            20|
|   palm|3020026227|            20|
|   palm|3024707992|            20|
|   palm|3023456362|            20|
|   palm|3016651485|            20|
|   palm|3014467615|            20|
|   palm|3015958025|            20|
|   palm|3024918848|            20|
|   palm|3024953755|            20|
|   palm|3406945791|            20|
|   palm|3018964794|            20|
|   palm|3024568877|            20|
|   palm|3017950485|            20|
|   palm|3018604649|            21|
|   palm|3015520299|            21|
|   palm|3014844738|            21|
|   palm|3024264085|            21|
|   palm|3020454530|            21|
|   palm|3015915692|            21|
|   palm|3014834745|            21|
|   palm|3014527296|            21|
|   palm|3014572100|            21|
|   palm|3019716900|            21|
|   palm|3025778593|            22|
|   palm|3023175174|            22|
|   palm|3024119831|            22|
|   palm|3013839128|            22|
|   palm|3020160387|            22|
|   palm|3018994053|            22|
|   palm|3022969296|            22|
|   palm|3014797177|            22|
|   palm|3019342390|            22|
|   palm|3020060476|            22|
|   palm|3019459282|            22|
|   palm|3025370463|            23|
|   palm|3014616784|            23|
|   palm|3023474060|            23|
|   palm|3019008453|            23|
|   palm|3013912877|            23|
|   palm|3023680963|            23|
|   palm|3022716748|            23|
|   palm|3018623685|            24|
|   palm|3018904443|            24|
|   palm|2920320059|            24|
|   palm|3019245076|            24|
|   palm|3016710166|            24|
|   palm|3019173309|            24|
|   palm|3019100520|            24|
|   palm|3023251181|            24|
|   palm|3018228635|            24|
|   palm|3018131250|            24|
|   palm|3021884961|            24|
|   palm|3015148398|            25|
|   palm|3023962700|            25|
|   palm|3019873456|            25|
|   palm|3020237201|            25|
|   palm|2920504693|            25|
|   palm|3015469474|            25|
|   palm|3024290827|            26|
|   palm|3019972424|            26|
|   palm|3025266581|            26|
|   palm|3017449549|            26|
|   palm|3021984260|            26|
|   palm|3022783472|            26|
|   palm|3024361363|            26|
|   palm|3023639205|            26|
|   palm|3024527409|            26|
|   palm|3020017121|            26|
|   palm|3024659380|            26|
|   palm|3023885982|            26|
|   palm|3015053455|            26|
|   palm|3024980402|            26|
|   palm|3016384507|            26|
|   palm|3020684186|            27|
|   palm|3022847852|            27|
|   palm|3020334869|            27|
|   palm|3015011363|            27|
|   palm|3014835507|            27|
|   palm|3019821569|            27|
|   palm|3018581708|            27|
|   palm|3023898379|            27|
|   palm|3020701670|            27|
|   palm|3019354114|            27|
|   palm|3018011210|            28|
|   palm|3015632013|            28|
|   palm|3019271858|            28|
|   palm|3025486868|            28|
|   palm|3410601613|            29|
|   palm|3020329965|            29|
|   palm|3019342231|            29|
|   palm|3019259186|            29|
|   palm|3022774388|            29|
|   palm|3023876273|            29|
|   palm|3018457930|            29|
|   palm|3023263834|            29|
|   palm|3015467305|            30|
|   palm|3019610737|            30|
|   palm|3018729635|            30|
|   palm|3024416642|            30|
|   palm|3019224930|            30|
|   palm|3023639316|            31|
|   palm|3017907666|            31|
|   palm|3016770041|            32|
|   palm|3019146651|            32|
|   palm|2920322392|            32|
|   palm|3019428008|            32|
|   palm|3020823944|            32|
|   palm|3025671430|            32|
|   palm|3019515786|            32|
|   palm|3018288277|            32|
|   palm|3022814911|            32|
|   palm|2920317714|            32|
|   palm|3019696199|            32|
|   palm|3018989545|            33|
|   palm|3015328849|            33|
|   palm|3024487267|            33|
|   palm|3019326870|            33|
|   palm|3019508285|            33|
|   palm|3023746524|            34|
|   palm|3024980031|            35|
|   palm|3020562562|            35|
|   palm|3023120360|            35|
|   palm|3014012355|            35|
|   palm|3018738379|            36|
|   palm|3020431774|            36|
|   palm|3015682701|            37|
|   palm|3019070859|            37|
|   palm|3025473203|            37|
|   palm|3026374373|            37|
|   palm|3019540740|            38|
|   palm|3024676416|            38|
|   palm|3022352711|            39|
|   palm|3024165142|            40|
|   palm|3025307420|            40|
|   palm|3025665574|            41|
|   palm|3024124623|            41|
|   palm|3018594562|            42|
|   palm|3023748273|            42|
|   palm|3016342535|            43|
|   palm|3018788243|            45|
|   palm|3024823511|            45|
|   palm|3020532816|            51|
|   palm|3023174478|            54|
|   xbox|8212441657|             2|
|   xbox|8212896511|             2|
|   xbox|8214435808|             2|
|   xbox|8212989463|             2|
|   xbox|8212277835|             3|
|   xbox|8213472092|             3|
|   xbox|8213266439|             3|
|   xbox|8214279576|             4|
|   xbox|8213137264|             4|
|   xbox|8213034705|             4|
|   xbox|8212530768|             5|
|   xbox|8213266411|             5|
|   xbox|8212182237|             5|
|   xbox|8214801298|             6|
|   xbox|8213267098|             6|
|   xbox|8213733010|             6|
|   xbox|8212122220|             6|
|   xbox|8212819110|             6|
|   xbox|8214733985|             7|
|   xbox|8213702304|             7|
|   xbox|8212268905|             7|
|   xbox|8215145547|             7|
|   xbox|8212590929|             8|
|   xbox|8213058220|             8|
|   xbox|8212839477|             8|
|   xbox|8213956836|             8|
|   xbox|8213403462|             9|
|   xbox|8214767887|             9|
|   xbox|8212878941|             9|
|   xbox|8212272351|             9|
|   xbox|8214862356|             9|
|   xbox|8214784050|             9|
|   xbox|8212143601|             9|
|   xbox|8213932495|             9|
|   xbox|8214735736|            10|
|   xbox|8213318286|            10|
|   xbox|8212610485|            10|
|   xbox|8212237522|            10|
|   xbox|8213759776|            10|
|   xbox|8215605488|            11|
|   xbox|8212964295|            11|
|   xbox|8214418083|            12|
|   xbox|8213515739|            12|
|   xbox|8214864154|            12|
|   xbox|8213162076|            12|
|   xbox|8211480551|            12|
|   xbox|8212966887|            12|
|   xbox|8214745918|            13|
|   xbox|8212711136|            13|
|   xbox|8214803514|            13|
|   xbox|8213183841|            13|
|   xbox|8215188105|            13|
|   xbox|8215558653|            14|
|   xbox|8213123943|            14|
|   xbox|8215610555|            14|
|   xbox|8213369721|            15|
|   xbox|8213922989|            15|
|   xbox|8213118813|            15|
|   xbox|8213935134|            15|
|   xbox|8212898463|            15|
|   xbox|8213085879|            15|
|   xbox|8212869625|            16|
|   xbox|8212170033|            16|
|   xbox|8214786481|            16|
|   xbox|8214801302|            16|
|   xbox|8214749544|            16|
|   xbox|8215582227|            16|
|   xbox|8214364171|            16|
|   xbox|8213037774|            16|
|   xbox|8212899346|            17|
|   xbox|8212198987|            17|
|   xbox|8214277489|            17|
|   xbox|8213081560|            17|
|   xbox|8212631876|            18|
|   xbox|8215129004|            18|
|   xbox|8212883411|            18|
|   xbox|8212157034|            18|
|   xbox|8213495915|            19|
|   xbox|8214772755|            19|
|   xbox|8212116757|            19|
|   xbox|8215001975|            19|
|   xbox|8212903200|            19|
|   xbox|8212969221|            19|
|   xbox|8214917158|            19|
|   xbox|8215125069|            19|
|   xbox|8212760279|            19|
|   xbox|8214823984|            20|
|   xbox|8215571039|            20|
|   xbox|8213067838|            20|
|   xbox|8212610170|            20|
|   xbox|8212870695|            20|
|   xbox|8213504270|            20|
|   xbox|8213073509|            21|
|   xbox|8214889177|            21|
|   xbox|8212889138|            21|
|   xbox|8214999031|            21|
|   xbox|8212339045|            21|
|   xbox|8214294890|            22|
|   xbox|8214864036|            22|
|   xbox|8213122141|            22|
|   xbox|8213297233|            22|
|   xbox|8212264580|            22|
|   xbox|8212635193|            22|
|   xbox|8213060420|            22|
|   xbox|8213063145|            23|
|   xbox|8213511406|            23|
|   xbox|8212944779|            23|
|   xbox|8212248443|            23|
|   xbox|8212381867|            24|
|   xbox|8213305402|            24|
|   xbox|8213049640|            24|
|   xbox|8212752835|            25|
|   xbox|8213387659|            25|
|   xbox|8212408545|            25|
|   xbox|8213047071|            25|
|   xbox|8212755285|            26|
|   xbox|8213082427|            26|
|   xbox|8212145833|            26|
|   xbox|8214430396|            26|
|   xbox|8214378351|            26|
|   xbox|8212135847|            26|
|   xbox|8212183207|            26|
|   xbox|8212110388|            27|
|   xbox|8212848054|            27|
|   xbox|8215408023|            28|
|   xbox|8212165593|            28|
|   xbox|8211851222|            28|
|   xbox|8213066557|            30|
|   xbox|8215000309|            30|
|   xbox|8211763485|            31|
|   xbox|8212830525|            32|
|   xbox|8213119950|            34|
|   xbox|8214435010|            35|
|   xbox|8212591610|            35|
|   xbox|8214772603|            35|
|   xbox|8213013625|            36|
|   xbox|8212668731|            36|
|   xbox|8213387444|            36|
|   xbox|8214275008|            38|
|   xbox|8213188385|            38|
|   xbox|8212903781|            38|
|   xbox|8212140993|            40|
|   xbox|8214330322|            41|
|   xbox|8212236671|            43|
|   xbox|8212359174|            45|
|   xbox|8212602164|            50|
|   xbox|8212629520|            57|
|   xbox|8214355679|            75|
+-------+----------+--------------+
